filename,chroma_stft,chroma_stft_stdev,spectral_centroid,spectral_centroid_stdev,spectral_bandwidth,spectral_bandwidth_stdev,rolloff,rolloff_stdev,zero_crossing_rate,zero_crossing_rate_stdev,pitch,pitch_stdev,mfcc 1,mfcc 2,mfcc 3,mfcc 4,mfcc 5,mfcc 6,mfcc 7,mfcc 8,mfcc 9,mfcc 10,mfcc 11,mfcc 12,mfcc 13,mfcc 14,mfcc 15,mfcc 16,mfcc 17,mfcc 18,mfcc 19,mfcc 20
coughing02.wav,0.4800967624894885,0.30719688542299967,3387.010315658013,1940.5663493457987,2755.3733400238734,521.514213090712,6440.314190204327,2432.05168472168,0.2245154747596154,0.22265485052086537,34.51749,257.80148,-384.56693842042677,45.74834558227171,-2.4719408200059356,-9.56828424966033,-5.3829219852349635,7.309464348527466,-5.9090512915373345,-8.247902778751033,-7.918099883625636,-9.66945799062663,-6.501891750319886,1.1678704246907388,-7.953817799520964,-4.36384398845259,-1.6789069010148483,-0.39174630941195354,-7.089046525071764,-1.6702023423050187,-1.205984611496094,-3.1410704949457893
coughing03.wav,0.4854881255361356,0.312847348942749,4008.7037358448715,2070.6343316725947,2875.752414395627,553.3123950544667,7269.561063326322,2230.06235412613,0.2709162785456731,0.24107323908736059,31.068844,242.51927,-421.7652874510732,30.678327875991773,-7.272137374056422,-9.041848614940182,-8.584257465239908,2.64624650426434,-7.08911704899471,-9.340859113338364,-8.333675987517724,-7.867535213944245,-3.987764635959533,0.404416074935641,-6.855682496680529,-3.2798176031859305,-1.3800853762375043,-3.781771846786604,-7.215536126235604,-1.837486206632795,-2.775279766232129,-5.136125215612901
coughing04.wav,0.46921122353364264,0.3091200882728961,2844.5739072447404,933.4382147764192,2818.7955783107464,416.18694609393185,6274.025357707163,1859.2452345597421,0.14078958918539325,0.09181147803009083,35.22328,274.47864,-277.5993195419221,74.84612635802661,14.358958621729583,10.034204476259779,0.1428103453333256,12.584779134370605,-5.5053552074206085,-4.007378112759008,-18.260224816152313,1.6960185743078335,-1.5636948308135876,-10.427146565342316,-9.867301317036572,6.085665903608794,-1.3286390990466002,-1.6998706046278207,-1.5046596299992072,2.3168258935211883,-3.999757698425691,-0.3379604023091341
coughing05.wav,0.40120021042070525,0.29990974299937256,2576.1381849028094,659.6612040738219,2416.9181545846845,346.52873218556783,5218.125357278964,1334.2379488456186,0.1400414443597561,0.05623034410473694,42.66697,293.5994,-310.3824237956151,47.301118805349454,-36.1074997776578,-20.77405243967301,-19.038399097852963,-2.5257058973512962,-29.415334225157338,-25.5191561195709,-32.726059879686055,-15.643496270192125,-17.444390811279206,-23.640991200055186,-7.362572263791481,-11.747957329498991,-17.588901177984972,-3.294305255416653,-7.570334945314899,2.5816401090508627,6.207833574234536,-1.801957991060601
coughing06.wav,0.5826707861004052,0.24099098775385525,2102.510906661036,545.3382821359967,2164.6479580667105,332.9743529900851,4266.654465024834,1210.5930800837382,0.1152330815397351,0.04924163300756059,66.19604,378.29227,-196.5042100387669,108.11185268485043,-26.078500790653173,20.5076281896037,-8.144381772709881,10.876543765250817,-0.5094613990283973,12.625028099361908,1.179200372578898,12.465335843973202,-1.2859106062508734,6.5762016721406775,0.03779506947675663,5.203487647359665,-2.4088005982115557,3.4075246470391307,-0.5919565593170449,2.7478942773495767,-1.5773434565550912,6.052484964397483
crowd_bg01.wav,0.45972764980965425,0.2726610906004584,1101.5819843347426,115.98315696165939,1406.2653196858396,185.52726441500707,1883.496944084994,288.08250337478063,0.06007144325657895,0.008119476192023337,24.430063,168.20665,-218.5122738905724,181.3775730537471,-22.111054321734283,12.08229162289737,-0.18624332179689976,-2.795381786336502,-8.587516629101291,-1.0214330609569917,-11.565109507609677,6.328057338003096,-0.26327222023402963,3.9646336232812915,-3.3231988999707047,3.5081594892745023,-1.5174449120686602,3.2398328628380195,-3.0037063278376737,2.300434027057386,-0.9606849969640835,1.192771758102099
crowd_bg02.wav,0.4303371404409706,0.2812036090798809,1037.0375468711743,141.34948245875495,1432.451699428198,235.40339627160213,1757.3977065898316,350.9266135388422,0.0524021774622678,0.0070314581275656195,17.12646,130.0823,-232.7674740761524,180.47171062145506,-9.900216325133048,14.70991923082544,-0.43741533976732194,-0.40517333515575854,-8.311082839214151,-4.134392799137394,-8.800890230569738,3.3619941706902954,0.6023303921918541,4.153828762982201,-3.365178297811231,3.7454709410315687,-0.1398033286868878,1.9595650030136307,-2.901664716345552,2.3558157516012743,-0.8953087220497389,-0.10792075804800011
crowd_bg03.wav,0.4914148720725299,0.26205855643596565,1114.0261020297041,116.62549001586096,1428.7120353799644,187.30143716541002,1882.3469510388447,269.4859380670112,0.06029555376838235,0.007544692452273098,27.25388,177.54634,-219.06155474175657,180.21132979823463,-21.870468367055214,10.973111827890285,-1.496988178395277,0.6782289274758563,-9.371311449694952,-1.3714372154113883,-8.633763178637327,5.539893263701484,-1.0545773899448618,4.675932356754663,-4.603422722353112,3.8600814664699623,-0.5664788107653895,3.8353923928232887,-4.022516196258472,4.700042665960778,-1.099857524701244,1.2872250572901949
crowd_bg04.wav,0.4956265868104419,0.26266546562449433,1089.0571809080677,119.84652108245301,1427.3506308284166,189.45809786563103,1841.2471995634191,258.03407179805515,0.05847848236745356,0.008735348246145427,26.34289,174.0292,-230.3824279726163,180.61239446937591,-18.589560326932098,11.346283964796317,0.14852528345382082,1.2359478293269446,-9.012660437877582,-2.459440000255392,-7.961385843838997,4.924451176764789,-0.28065871301431816,4.295807469442254,-3.5841434115412234,2.9956822043521183,-0.558324097525539,4.031857770629769,-3.2206526533339557,3.625528425716891,-0.08627042121284015,0.8960532288912122
crowd_bg05.wav,0.48724047359235734,0.26308150253073836,1060.9743044303852,138.73246846959356,1406.9175389898571,220.80392978389418,1796.5474698565693,327.1533419584365,0.05608356109713622,0.008255622471632263,23.912607,161.98468,-240.57990324864218,183.50422424482767,-18.24233811052169,11.97832616663801,-0.0062454888056257376,1.844167176901369,-7.9807909340935845,-1.2288574981334268,-8.307626551011914,7.180017265710595,0.3095208510402794,5.4337653181783745,-2.710114409427907,4.562838312092626,-0.5640441978879103,4.5155718840804155,-4.0146067374143914,3.9747627388544493,0.3445219376279521,2.3847699655600727
